ICAO,TYPE/SIZE,NAME,ELEVATION,iso_country,iso_region,municipality,Lat,Lon
KGTE,small_airport,Gothenburg Municipal Airport,2559,US,US-NE,Gothenburg,-100.148003,40.9263
KGTF,medium_airport,Great Falls International Airport,3680,US,US-MT,Great Falls,-111.3710022,47.48199844
KGTG,small_airport,Grantsburg Municipal Airport,927,US,US-WI,Grantsburg,-92.66439819,45.79809952
KGTR,medium_airport,Golden Triangle Regional Airport,264,US,US-MS,Columbus/W Point/Starkville,-88.59140015,33.45029831
KGTU,small_airport,Georgetown Municipal Airport,790,US,US-TX,Georgetown,-97.67939758,30.67880058
KGUC,small_airport,Gunnison Crested Butte Regional Airport,7680,US,US-CO,Gunnison,-106.9329987,38.53390121
KGUP,medium_airport,Gallup Municipal Airport,6472,US,US-NM,Gallup,-108.7890015,35.51110077
KGUS,large_airport,Grissom Air Reserve Base,812,US,US-IN,Peru,-86.15209961,40.64810181
KGUY,medium_airport,Guymon Municipal Airport,3123,US,US-OK,Guymon,-101.5080032,36.68510056
KGVL,small_airport,Lee Gilmer Memorial Airport,1276,US,US-GA,Gainesville,-83.8302002,34.27259827
KGVQ,small_airport,Genesee County Airport,914,US,US-NY,Batavia,-78.16760254,43.03170013
KGVT,small_airport,Majors Airport,535,US,US-TX,Greenville,-96.06529999,33.06779861
KGVW,closed,Richards-Gebaur Air Force Base,1093,US,US-MO,Belton,-94.55999756,38.84420013
KGWB,small_airport,De Kalb County Airport,880,US,US-IN,Auburn,-85.06439972,41.30720139
KGWN,heliport,Winn Army Community Hospital Helipad,82,US,US-GA,Fort Stewart,-81.59666667,31.87416667
KGWO,medium_airport,GreenwoodâLeflore Airport,162,US,US-MS,Greenwood,-90.08470154,33.49430084
KGWR,small_airport,Gwinner Roger Melroe Field,1266,US,US-ND,Gwinner,-97.64320374,46.21870041
